epoch,train_loss,train_auroc_y0,train_auroc_y1,train_auroc_prop,val_loss,val_auroc_y0,val_auroc_y1,val_auroc_prop,fold
1,1.3100358618630303,0.3594276094276095,0.5446840026333113,0.5088210926458404,1.1796244442462922,0.6527777777777779,0.558139534883721,0.5462184873949579,1
2,1.1664546913570828,0.5690235690235691,0.486353412332675,0.49950046298552564,1.179491972923279,0.5833333333333333,0.5697674418604651,0.5088702147525677,1
3,1.1580098940266503,0.5549242424242424,0.5140580425718675,0.5347117305911595,1.1839679062366486,0.5972222222222221,0.5965116279069766,0.48459383753501395,1
4,1.1581904305352104,0.5311447811447811,0.5118499012508229,0.5522929967347338,1.175319677591324,0.5694444444444444,0.622093023255814,0.49579831932773116,1
5,1.1457794467608133,0.5452441077441077,0.5082839587447883,0.5434719040888933,1.2236360311508179,0.513888888888889,0.6046511627906976,0.46311858076563955,1
6,1.1417160934872097,0.5406144781144782,0.5059455233706386,0.5685218577903407,1.2257177233695984,0.5,0.5558139534883721,0.5004668534080299,1
7,1.138706899351544,0.5698653198653199,0.5341370419135396,0.5838369316243481,1.2102178394794465,0.5416666666666667,0.6058139534883721,0.44164332399626516,1
8,1.1387248582310148,0.5050505050505051,0.5014126618389291,0.5773612261806131,1.2403475046157837,0.5,0.5976744186046512,0.4332399626517274,1
9,1.1283542884720696,0.5795454545454546,0.5566436251920123,0.6135045567522783,1.2097452580928802,0.5138888888888888,0.5662790697674419,0.41923436041083095,1
10,1.1312554604477352,0.5523989898989898,0.5542846170726355,0.6241410400116966,1.2166987776756286,0.513888888888889,0.5895348837209302,0.42110177404295057,1
11,1.1223268356588152,0.5551346801346801,0.5498889071757735,0.6523344217554462,1.2280469596385957,0.49999999999999994,0.5906976744186047,0.4239028944911297,1
12,1.1142615808380976,0.5814393939393939,0.5834019091507572,0.6654076709391296,1.539134669303894,0.45833333333333337,0.49767441860465117,0.4565826330532213,1
13,1.1175537268320719,0.5637626262626262,0.5505678077682685,0.6653954871095082,2.7289703845977784,0.4861111111111111,0.5790697674418606,0.41363211951447243,1
14,1.1124013900756835,0.5829124579124579,0.5941545973228002,0.658596910180808,1.5215854167938232,0.4861111111111111,0.49767441860465117,0.45938375350140054,1
15,1.10660127931171,0.6319444444444444,0.6038786482334869,0.6840123787708952,1.3062167286872863,0.5833333333333333,0.5906976744186045,0.4005602240896358,1
16,1.0935672528213924,0.6098484848484849,0.6001412661838929,0.6985720551683805,1.3770719349384308,0.4444444444444445,0.5906976744186047,0.4024276377217554,1
17,1.0933409651120505,0.55513468013468,0.6246502633311388,0.7126078268921487,1.4675245404243469,0.5694444444444444,0.6209302325581395,0.4126984126984127,1
18,1.1024025771352979,0.5744949494949495,0.6195002194426158,0.6991325113309614,1.4565716147422791,0.48611111111111116,0.5802325581395349,0.4369747899159664,1
19,1.064666516913308,0.6340488215488216,0.6129580864603906,0.7535333105901847,2.1354710042476652,0.5972222222222222,0.6511627906976744,0.4098972922502334,1
20,1.0682738973034753,0.6731902356902357,0.625768049155146,0.7201983527462352,1.527385550737381,0.5138888888888888,0.6534883720930232,0.4089635854341737,1
21,1.0602294319205814,0.6338383838383839,0.639195194206715,0.7454310638920025,1.816655695438385,0.375,0.6244186046511628,0.42110177404295057,1
22,1.0454803513156044,0.6136363636363636,0.6521011630458635,0.7641697938496028,3.6771741807460785,0.4305555555555556,0.6430232558139535,0.4332399626517274,1
23,1.0293162239922418,0.6399410774410774,0.6540281435154707,0.7880135484185389,4.505053174495697,0.38888888888888884,0.5569767441860465,0.4668534080298786,1
24,1.0437823043929206,0.6454124579124578,0.625603467193329,0.7750560456162581,1.5687321960926055,0.3472222222222222,0.6197674418604651,0.46218487394957986,1
