outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,1738,0.9 cm,335,189,146,0.00022473167639304893,5.1990439460520866e-05,4.3225577380183475,0.45182702,1.0,1.0,1.0,1.0,True,4.3225577380183475,1
1,20347,nsclc . ---,178,100,78,-0.00010753969285359562,2.746505716542648e-05,-3.9155095220034193,-0.33762488,1.0,1.0,1.0,1.0,True,3.9155095220034193,2
1,2071,10 mg daily.,264,136,128,-0.0001158503364197609,3.045266877973349e-05,-3.8042753250204555,-0.33118418,1.0,1.0,0.9666666666666667,1.0,True,3.709168441894944,3
1,29157,was negative,289,155,134,-0.00010969545428191653,2.892241983712619e-05,-3.7927481483104066,-0.38602766,1.0,1.0,0.9666666666666667,1.0,True,3.6979294446026465,4
1,22559,perilesional,118,63,55,0.0001928087134137592,5.270800439233575e-05,3.658053755527793,0.46865737,1.0,1.0,1.0,1.0,True,3.658053755527793,5
1,17896,mg daily. -,235,117,118,-0.00012042796785656222,3.2373831921980865e-05,-3.7199170041651826,-0.37073156,1.0,1.0,0.9333333333333333,1.0,True,3.533921153956923,6
1,21563,oral morphine,141,62,79,-0.00011577529112328845,3.183447764064204e-05,-3.6367894089608654,-0.316759,1.0,1.0,0.9333333333333333,1.0,True,3.454949938512822,7
1,26115,squamous nsclc. -,66,28,38,0.00011037589175399417,3.126892233813085e-05,3.5298911347320856,0.33581653,1.0,1.0,0.9666666666666667,1.0,True,3.4416438563637834,8
1,24869,reviewed potential benefits,75,35,40,-9.475506813704091e-05,2.7578801039164314e-05,-3.435793601124299,-0.3206084,1.0,1.0,0.9666666666666667,1.0,True,3.3498987610961914,9
1,25505,she reports persistent,83,47,36,0.00013336055245447752,3.817439717097868e-05,3.4934553611199446,0.4925963,1.0,1.0,0.9333333333333333,1.0,True,3.3187825930639474,10
1,3340,5 .,50,21,29,-0.0001267988682163656,3.64027248039912e-05,-3.4832246459326406,-0.32157424,1.0,1.0,0.9333333333333333,1.0,True,3.309063413636008,11
1,9994,denies nausea,79,43,36,-0.00010216008425224404,2.863504244712864e-05,-3.5676596059136654,-0.46726403,1.0,1.0,0.9,1.0,True,3.3000851354701406,12
1,17895,mg daily.,281,143,138,-0.00012013766518888136,3.389089037431004e-05,-3.544836499189412,-0.32377365,1.0,1.0,0.9,1.0,True,3.278973761750206,13
1,8628,cognitive function 60,136,63,73,0.00012998856864235322,3.733868361511432e-05,3.481337745654621,0.3370179,1.0,1.0,0.9,1.0,True,3.2202374147305246,14
1,3914,75 100,306,183,123,-9.477657970538312e-05,2.7965569832172717e-05,-3.389045182134938,-0.30320853,1.0,1.0,0.9333333333333333,1.0,True,3.2195929230281912,15
1,15441,is dominated,149,73,76,-9.353222902612701e-05,2.6195475056759446e-05,-3.570549067098979,-0.35782054,1.0,1.0,0.8666666666666667,1.0,True,3.213494160389081,16
1,15442,is dominated by,149,73,76,-9.353222902612701e-05,2.6195475056759446e-05,-3.570549067098979,-0.35782054,1.0,1.0,0.8666666666666667,1.0,True,3.213494160389081,17
1,10565,dizziness or,386,203,183,-0.00010910210917570741,3.059720072856637e-05,-3.565754597735039,-0.33875608,1.0,1.0,0.8666666666666667,1.0,True,3.209179137961535,18
1,16172,left occipital,33,17,16,0.0001556411992929298,4.765604319651281e-05,3.2659278625196206,0.32305643,1.0,1.0,0.9666666666666667,1.0,True,3.18427966595663,19
