topic_index,variable,variable_role,association_kind,association,association_strength,topic_rank
24,true_age,confounder,spearman,0.4255151468464889,0.4255151468464889,48
30,true_age,confounder,spearman,0.3538123324828288,0.3538123324828288,71
39,true_age,confounder,spearman,0.31966504908741306,0.31966504908741306,29
77,true_age,confounder,spearman,-0.19099136708898481,0.19099136708898481,88
18,true_age,confounder,spearman,0.1556314549135262,0.1556314549135262,80
3,true_age,confounder,spearman,-0.15042041143655582,0.15042041143655582,98
7,true_age,confounder,spearman,0.12815183374294728,0.12815183374294728,67
86,true_age,confounder,spearman,-0.1240281645751629,0.1240281645751629,15
28,true_age,confounder,spearman,0.11712527939410905,0.11712527939410905,20
83,true_age,confounder,spearman,-0.1126089982689845,0.1126089982689845,28
44,true_age,confounder,spearman,-0.10836792610016438,0.10836792610016438,5
69,true_age,confounder,spearman,-0.09436543583221917,0.09436543583221917,40
50,true_age,confounder,spearman,-0.09256661886340208,0.09256661886340208,95
54,true_age,confounder,spearman,0.09102829056879426,0.09102829056879426,81
9,true_age,confounder,spearman,0.09040527090252087,0.09040527090252087,46
4,true_age,confounder,spearman,-0.08993104811340553,0.08993104811340553,86
19,true_age,confounder,spearman,0.08983673914745259,0.08983673914745259,36
0,true_age,confounder,spearman,-0.08553645090727029,0.08553645090727029,41
60,true_age,confounder,spearman,-0.07921999821865595,0.07921999821865595,77
98,true_age,confounder,spearman,-0.0751414826668238,0.0751414826668238,65
42,true_age,confounder,spearman,0.07484870539682967,0.07484870539682967,62
81,true_age,confounder,spearman,-0.07311837730729313,0.07311837730729313,3
65,true_age,confounder,spearman,-0.0696683246201608,0.0696683246201608,37
92,true_age,confounder,spearman,0.06822970404635957,0.06822970404635957,91
25,true_age,confounder,spearman,0.0641231070824909,0.0641231070824909,60
2,true_age,confounder,spearman,-0.06235785242870784,0.06235785242870784,26
70,true_age,confounder,spearman,0.06159365936882637,0.06159365936882637,82
49,true_age,confounder,spearman,0.06074952010479017,0.06074952010479017,38
74,true_age,confounder,spearman,-0.06005998519020433,0.06005998519020433,83
26,true_age,confounder,spearman,0.05851673215114566,0.05851673215114566,69
52,true_age,confounder,spearman,-0.058245371211345376,0.058245371211345376,31
15,true_age,confounder,spearman,0.056512835479868,0.056512835479868,13
31,true_age,confounder,spearman,-0.056407192318838534,0.056407192318838534,44
87,true_age,confounder,spearman,-0.053975083887455325,0.053975083887455325,17
90,true_age,confounder,spearman,-0.05322174347630136,0.05322174347630136,59
63,true_age,confounder,spearman,0.05187451574838792,0.05187451574838792,1
82,true_age,confounder,spearman,-0.05065523091765951,0.05065523091765951,14
68,true_age,confounder,spearman,0.050158888059851886,0.050158888059851886,10
38,true_age,confounder,spearman,0.04846177661720499,0.04846177661720499,66
56,true_age,confounder,spearman,-0.04836033372286734,0.04836033372286734,53
67,true_age,confounder,spearman,0.047141493476509935,0.047141493476509935,51
93,true_age,confounder,spearman,-0.04624239199195478,0.04624239199195478,68
99,true_age,confounder,spearman,0.045847055169690926,0.045847055169690926,78
46,true_age,confounder,spearman,0.04540081497216981,0.04540081497216981,35
12,true_age,confounder,spearman,0.04281960461140306,0.04281960461140306,9
33,true_age,confounder,spearman,0.042102866129064304,0.042102866129064304,47
5,true_age,confounder,spearman,-0.041811365675427925,0.041811365675427925,43
91,true_age,confounder,spearman,-0.039065204010811205,0.039065204010811205,84
43,true_age,confounder,spearman,-0.038911254762813687,0.038911254762813687,25
94,true_age,confounder,spearman,-0.03828346370395271,0.03828346370395271,93
80,true_age,confounder,spearman,0.03721033935443723,0.03721033935443723,61
61,true_age,confounder,spearman,-0.03605927825401692,0.03605927825401692,79
36,true_age,confounder,spearman,0.0347772689095107,0.0347772689095107,72
13,true_age,confounder,spearman,0.033747344557633056,0.033747344557633056,52
84,true_age,confounder,spearman,-0.033136737939237326,0.033136737939237326,90
6,true_age,confounder,spearman,-0.031965244279159456,0.031965244279159456,56
35,true_age,confounder,spearman,-0.03075114300850006,0.03075114300850006,55
55,true_age,confounder,spearman,-0.030516755428189046,0.030516755428189046,89
57,true_age,confounder,spearman,-0.03036661610641485,0.03036661610641485,18
14,true_age,confounder,spearman,-0.030316079755220313,0.030316079755220313,92
64,true_age,confounder,spearman,0.029587689714770517,0.029587689714770517,11
59,true_age,confounder,spearman,0.029431827247938445,0.029431827247938445,2
22,true_age,confounder,spearman,0.02906772596987103,0.02906772596987103,73
41,true_age,confounder,spearman,-0.02817055082333035,0.02817055082333035,50
51,true_age,confounder,spearman,-0.027733443205071585,0.027733443205071585,19
47,true_age,confounder,spearman,0.026331231889335647,0.026331231889335647,54
66,true_age,confounder,spearman,0.025172771628178638,0.025172771628178638,58
21,true_age,confounder,spearman,0.024881393162755682,0.024881393162755682,87
37,true_age,confounder,spearman,0.02434297661701699,0.02434297661701699,64
78,true_age,confounder,spearman,0.023135318485261767,0.023135318485261767,12
71,true_age,confounder,spearman,-0.022785206372673273,0.022785206372673273,7
53,true_age,confounder,spearman,-0.022595422335693408,0.022595422335693408,99
76,true_age,confounder,spearman,0.02144512939522059,0.02144512939522059,100
62,true_age,confounder,spearman,0.020253727403578847,0.020253727403578847,94
75,true_age,confounder,spearman,-0.01984667615213238,0.01984667615213238,16
85,true_age,confounder,spearman,0.0194306474818814,0.0194306474818814,57
97,true_age,confounder,spearman,-0.018968688667100775,0.018968688667100775,74
34,true_age,confounder,spearman,-0.01798555354915634,0.01798555354915634,75
17,true_age,confounder,spearman,0.016663255441154205,0.016663255441154205,63
73,true_age,confounder,spearman,-0.015687349869337598,0.015687349869337598,45
29,true_age,confounder,spearman,0.015324397933358097,0.015324397933358097,49
40,true_age,confounder,spearman,0.014879079904725102,0.014879079904725102,33
10,true_age,confounder,spearman,-0.01414766282730206,0.01414766282730206,42
20,true_age,confounder,spearman,0.013954927205107645,0.013954927205107645,32
32,true_age,confounder,spearman,0.013063271398244881,0.013063271398244881,24
58,true_age,confounder,spearman,-0.012358638967373175,0.012358638967373175,97
11,true_age,confounder,spearman,-0.011542501136064125,0.011542501136064125,96
1,true_age,confounder,spearman,-0.011174091103936313,0.011174091103936313,85
89,true_age,confounder,spearman,0.007924871222791775,0.007924871222791775,76
23,true_age,confounder,spearman,0.007237984664115212,0.007237984664115212,6
27,true_age,confounder,spearman,0.007024069006567629,0.007024069006567629,22
95,true_age,confounder,spearman,-0.006623609207985271,0.006623609207985271,27
88,true_age,confounder,spearman,0.005507192012386102,0.005507192012386102,70
8,true_age,confounder,spearman,-0.0053094980072494686,0.0053094980072494686,39
79,true_age,confounder,spearman,0.003830395071992605,0.003830395071992605,30
96,true_age,confounder,spearman,-0.0038111642424382914,0.0038111642424382914,4
48,true_age,confounder,spearman,0.0036928688267996827,0.0036928688267996827,23
16,true_age,confounder,spearman,0.0019297833482814694,0.0019297833482814694,21
72,true_age,confounder,spearman,0.0017388844437629739,0.0017388844437629739,8
45,true_age,confounder,spearman,0.000813461635269656,0.000813461635269656,34
34,true_baseline_hemoglobin,effect_modifier,spearman,0.4000948675673623,0.4000948675673623,75
61,true_baseline_hemoglobin,effect_modifier,spearman,-0.2598412920575174,0.2598412920575174,79
9,true_baseline_hemoglobin,effect_modifier,spearman,-0.1291332598530485,0.1291332598530485,46
69,true_baseline_hemoglobin,effect_modifier,spearman,0.11003236362721859,0.11003236362721859,40
77,true_baseline_hemoglobin,effect_modifier,spearman,0.09484933776077321,0.09484933776077321,88
52,true_baseline_hemoglobin,effect_modifier,spearman,0.0923901000430672,0.0923901000430672,31
45,true_baseline_hemoglobin,effect_modifier,spearman,-0.0836258120285183,0.0836258120285183,34
23,true_baseline_hemoglobin,effect_modifier,spearman,-0.08180366311489905,0.08180366311489905,6
30,true_baseline_hemoglobin,effect_modifier,spearman,-0.07612170267448372,0.07612170267448372,71
43,true_baseline_hemoglobin,effect_modifier,spearman,0.07454084438929051,0.07454084438929051,25
75,true_baseline_hemoglobin,effect_modifier,spearman,-0.07272419693710784,0.07272419693710784,16
6,true_baseline_hemoglobin,effect_modifier,spearman,0.07197598473991004,0.07197598473991004,56
1,true_baseline_hemoglobin,effect_modifier,spearman,-0.06953935633452979,0.06953935633452979,85
42,true_baseline_hemoglobin,effect_modifier,spearman,-0.06911869120790741,0.06911869120790741,62
63,true_baseline_hemoglobin,effect_modifier,spearman,0.06728590509438243,0.06728590509438243,1
65,true_baseline_hemoglobin,effect_modifier,spearman,-0.06225123122559133,0.06225123122559133,37
36,true_baseline_hemoglobin,effect_modifier,spearman,-0.061613898113077145,0.061613898113077145,72
59,true_baseline_hemoglobin,effect_modifier,spearman,0.06123284991760373,0.06123284991760373,2
72,true_baseline_hemoglobin,effect_modifier,spearman,-0.06118572066279602,0.06118572066279602,8
19,true_baseline_hemoglobin,effect_modifier,spearman,0.06017415838506665,0.06017415838506665,36
60,true_baseline_hemoglobin,effect_modifier,spearman,0.05899077730525652,0.05899077730525652,77
87,true_baseline_hemoglobin,effect_modifier,spearman,0.058671265583184945,0.058671265583184945,17
4,true_baseline_hemoglobin,effect_modifier,spearman,0.057719726681083175,0.057719726681083175,86
70,true_baseline_hemoglobin,effect_modifier,spearman,0.055675842896102674,0.055675842896102674,82
17,true_baseline_hemoglobin,effect_modifier,spearman,-0.05374295605233301,0.05374295605233301,63
35,true_baseline_hemoglobin,effect_modifier,spearman,-0.050983004208091785,0.050983004208091785,55
8,true_baseline_hemoglobin,effect_modifier,spearman,-0.04985819651368703,0.04985819651368703,39
71,true_baseline_hemoglobin,effect_modifier,spearman,-0.04909392901475662,0.04909392901475662,7
37,true_baseline_hemoglobin,effect_modifier,spearman,-0.047958533659650825,0.047958533659650825,64
68,true_baseline_hemoglobin,effect_modifier,spearman,0.045884246004065835,0.045884246004065835,10
26,true_baseline_hemoglobin,effect_modifier,spearman,-0.04542793339845037,0.04542793339845037,69
82,true_baseline_hemoglobin,effect_modifier,spearman,0.043302147256567745,0.043302147256567745,14
90,true_baseline_hemoglobin,effect_modifier,spearman,0.04270866176957291,0.04270866176957291,59
55,true_baseline_hemoglobin,effect_modifier,spearman,0.042563333924888314,0.042563333924888314,89
94,true_baseline_hemoglobin,effect_modifier,spearman,0.042555883142432964,0.042555883142432964,93
93,true_baseline_hemoglobin,effect_modifier,spearman,0.04232809234736257,0.04232809234736257,68
3,true_baseline_hemoglobin,effect_modifier,spearman,-0.0420454783537365,0.0420454783537365,98
83,true_baseline_hemoglobin,effect_modifier,spearman,0.04149078011628538,0.04149078011628538,28
81,true_baseline_hemoglobin,effect_modifier,spearman,0.041308257283320465,0.041308257283320465,3
10,true_baseline_hemoglobin,effect_modifier,spearman,0.040888687889386835,0.040888687889386835,42
32,true_baseline_hemoglobin,effect_modifier,spearman,0.03889561031007621,0.03889561031007621,24
14,true_baseline_hemoglobin,effect_modifier,spearman,-0.03743923218641163,0.03743923218641163,92
53,true_baseline_hemoglobin,effect_modifier,spearman,-0.037162556434939924,0.037162556434939924,99
12,true_baseline_hemoglobin,effect_modifier,spearman,0.03596025773071112,0.03596025773071112,9
