n,true_ate,predicted_ate,ate_bias,pehe,ite_mae,ite_r2,ite_pearson,ite_spearman,predicted_ite_sd,true_ite_sd,high_pdl1_auroc,pdl1_high_vs_low_true_gap,pdl1_high_vs_low_predicted_gap,pdl1_gap_fraction_recovered,oracle_row_ite_interval_coverage,mean_interval_width,r_loss,constant_effect_r_loss,r_loss_improvement_vs_constant,outer_fold,top_k,n_train,n_test,vocabulary_size,n_nuisance_stability_sources,nuisance_source,nuisance_treatment_auroc,nuisance_treatment_brier,nuisance_outcome_auroc,nuisance_outcome_brier,train_constant_effect
200,0.0636716475772448,0.10903244153109198,0.04536079395384718,0.1994043715790917,0.1606413837036805,-0.5178900683248486,0.01118607151315653,-0.05943298582464563,0.10937889732595017,0.16225682559302082,0.5382727412179782,0.3037438706177757,0.03653898118325084,0.12029536961169056,0.62,0.37307779779792966,0.17649861720469165,0.17475108743822765,-0.001747529766464001,1,25,800,200,30000,7,crossfit_logistic_stack,0.8315509693558474,0.16680605487075403,0.8252986132199616,0.1679742400210434,0.10701546657063286
200,0.041966762874018515,0.13049244007650723,0.08852567720248872,0.2000979076815325,0.15904336445600753,-0.7411471378255368,0.25246922264415955,0.10360159003975102,0.14194750132730027,0.15202439034601797,0.8106386367255933,0.25949169728145793,0.18583620974616438,0.7161547428802585,0.62,0.37699870829171206,0.14626727149428612,0.14834178154795524,0.0020745100536691263,2,25,800,200,30000,7,crossfit_logistic_stack,0.8370712071207121,0.16350340538500213,0.8084986302759741,0.1757593307294212,0.13562594781395462
200,0.0707176936638699,0.09464765736337835,0.02392996369950845,0.22618893119119104,0.174815210430985,-0.8979824972083732,0.07237233515719381,-0.014860871521788046,0.16648808683753485,0.16459388887860382,0.5621333333333333,0.2715284187719959,0.05353851507596796,0.19717462841679415,0.63,0.399344090401643,0.1729059343268171,0.16547954797569442,-0.0074263863511226935,3,25,800,200,30000,7,crossfit_logistic_stack,0.8417481203007519,0.15996173122504395,0.8211485881962823,0.1720621112360378,0.1034685818937368
200,0.06681810834279628,0.12907738775092148,0.0622592794081252,0.20037464906270058,0.16397053464126243,-0.41918947700533304,0.15473109318737185,0.08326708167704193,0.11938522249591589,0.16862076031577503,0.6270967741935485,0.29706086228890444,0.052010555403220846,0.17508383636427458,0.575,0.36063053973108083,0.18418634415465696,0.1857039218144692,0.0015175776598122526,4,25,800,200,30000,7,crossfit_logistic_stack,0.8378474763969443,0.16133085561468352,0.8330492424242425,0.16562428652517816,0.11771293633611368
200,0.07054501733523426,0.17106415959695082,0.10051914226171656,0.22424882427972245,0.18235001289461877,-0.8235849219229034,0.21022718542839097,0.1822500562514063,0.15287711579634555,0.16647753550521022,0.689539627039627,0.3039826457662299,0.10441625889047296,0.34349414463209726,0.635,0.3912518371584751,0.17619210357750908,0.1726423881264772,-0.0035497154510318873,5,25,800,200,30000,7,crossfit_logistic_stack,0.840168776371308,0.16183759420163946,0.821565779462899,0.17192935041756136,0.16366176595345236
200,0.0636716475772448,0.11814525839379315,0.05447361081654835,0.1954171843906817,0.15825957498670598,-0.4577950530584276,-0.02586014796682511,-0.04897772444311108,0.09113406204453363,0.16225682559302082,0.48535051388249734,0.3037438706177757,0.004061468162535831,0.013371358422065705,0.57,0.3210311031988738,0.17883492590371516,0.17475108743822765,-0.004083838465487516,1,50,800,200,30000,7,crossfit_logistic_stack,0.8315509693558474,0.16680605487075403,0.8252986132199616,0.1679742400210434,0.10701546657063286
200,0.041966762874018515,0.1359086410095981,0.09394187813557958,0.19545901315148204,0.15625414895857134,-0.6613524712507406,0.21199832611756525,0.0723318082952074,0.11856587856116434,0.15202439034601797,0.7943940117853161,0.25949169728145793,0.1457561760223099,0.561698804043874,0.625,0.36697773519824023,0.14604630202403332,0.14834178154795524,0.0022954795239219228,2,50,800,200,30000,7,crossfit_logistic_stack,0.8370712071207121,0.16350340538500213,0.8084986302759741,0.1757593307294212,0.13562594781395462
200,0.0707176936638699,0.10798876027162764,0.03727106660775774,0.1969397272546766,0.15533990316775412,-0.43885215153369517,0.12578702102466616,-0.016392409810245256,0.1252099567227556,0.16459388887860382,0.6066666666666667,0.2715284187719959,0.06665287934545801,0.24547294035335154,0.64,0.3458013280583683,0.17102736999780696,0.16547954797569442,-0.005547822022112542,3,50,800,200,30000,7,crossfit_logistic_stack,0.8417481203007519,0.15996173122504395,0.8211485881962823,0.1720621112360378,0.1034685818937368
200,0.06681810834279628,0.12008386762584909,0.05326575928305281,0.19148999525714086,0.15822633452772802,-0.29612536446663884,0.10107569121854897,0.008268206705167631,0.09358561693398786,0.16862076031577503,0.5562724014336917,0.29706086228890444,0.02603044160651423,0.08762662777568628,0.62,0.3459563804342721,0.1851831139770229,0.1857039218144692,0.0005208078374463188,4,50,800,200,30000,7,crossfit_logistic_stack,0.8378474763969443,0.16133085561468352,0.8330492424242425,0.16562428652517816,0.11771293633611368
200,0.07054501733523426,0.15677614586011504,0.08623112852488078,0.19300772493496085,0.15702213254408334,-0.3508745699833591,0.32179872379792335,0.26918172954323866,0.12513496823305362,0.16647753550521022,0.75495337995338,0.3039826457662299,0.11569058257833725,0.3805828529675544,0.61,0.369005780239933,0.1707802358707284,0.1726423881264772,0.001862152255748789,5,50,800,200,30000,7,crossfit_logistic_stack,0.840168776371308,0.16183759420163946,0.821565779462899,0.17192935041756136,0.16366176595345236
